seed,feats,layers,units,dropout,ngram,min_df,max_df,stop,val_acc
12345,100,2,64,.2,2,0,1,english,.74
12345,1000,2,64,.2,2,0,1,english,.82
12345,10000,2,64,.2,2,0,1,english,.70
# Lesson: stopwords are a win.
12345,100,2,64,.2,2,0,1,None,.73
12345,1000,2,64,.2,2,0,1,None,.78
12345,10000,2,64,.2,2,0,1,None,.60
12345,1000,1,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,1000,2,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,1000,3,64,0.2,2,0.0,1.0,english,0.7553191781044006
12345,1000,4,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,1000,5,64,0.2,2,0.0,1.0,english,0.7659574747085571
12345,2000,1,64,0.2,2,0.0,1.0,english,0.8297872543334961
12345,2000,2,64,0.2,2,0.0,1.0,english,0.7978723645210266
12345,2000,3,64,0.2,2,0.0,1.0,english,0.7978723645210266
12345,2000,4,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,2000,5,64,0.2,2,0.0,1.0,english,0.8404255509376526
12345,3000,1,64,0.2,2,0.0,1.0,english,0.6808510422706604
12345,3000,2,64,0.2,2,0.0,1.0,english,0.7021276354789734
12345,3000,3,64,0.2,2,0.0,1.0,english,0.7553191781044006
12345,3000,4,64,0.2,2,0.0,1.0,english,0.7872340679168701
12345,3000,5,64,0.2,2,0.0,1.0,english,0.7340425252914429
12345,4000,1,64,0.2,2,0.0,1.0,english,0.8085106611251831
12345,4000,2,64,0.2,2,0.0,1.0,english,0.7978723645210266
12345,4000,3,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,4000,4,64,0.2,2,0.0,1.0,english,0.7765957713127136
12345,4000,5,64,0.2,2,0.0,1.0,english,0.7553191781044006
12345,5000,1,64,0.2,2,0.0,1.0,english,0.7659574747085571
12345,5000,2,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,5000,3,64,0.2,2,0.0,1.0,english,0.7553191781044006
12345,5000,4,64,0.2,2,0.0,1.0,english,0.7234042286872864
